names,category,product_id,descriptions
Apple iPhone 15 Pro Smartphone,Electronics,1,Sleek design combined with exceptional functionality.
Apple Watch Ultra Smartwatch,Electronics,2,High-quality construction with attention to detail.
Samsung Galaxy Z Flip 6 Smartphone,Electronics,3,Sleek design combined with exceptional functionality.
Samsung Galaxy Watch 7 Smartwatch,Electronics,4,"Versatile and durable, design."
Apple MacBook Air M2 Laptop,Electronics,5,High-quality construction with attention to detail.
Dell XPS 13 Plus Laptop,Electronics,6,Sleek design combined with exceptional functionality.
Keurig K-Duo Coffee Maker,Home Appliances,7,Sleek design combined with exceptional functionality.
Nespresso Gran Latissima Coffee Maker,Home Appliances,8,"Perfect blend of style, comfort, and practicality."
Panasonic NN-DF383BTTE Microwave,Home Appliances,9,High-quality construction with attention to detail.
Samsung  ME731K ME-731K Microwave,Home Appliances,10,Sleek design combined with exceptional functionality.
Oster Blender,Home Appliances,11,High-quality construction with attention to detail.
Vitamix Blender,Home Appliances,12,"Perfect blend of style, comfort, and practicality."
Acer Predator Laptop,Electronics,13,Sleek design combined with exceptional functionality.
Asus ROG Laptop,Electronics,14,"Perfect blend of style, comfort, and practicality."
Advan Workplus Laptop,Electronics,15,"Perfect blend of style, comfort, and practicality."
